"CO","NO","NO2","NOX","O3","PM10","PM25"
0.3,2,18,20,77,34,21
0.26,1,19,20,18,18,9
0.21,1,7,9,57,26,20
0.32,5,28,33,5,24,16
0.08,1,8,9,86,31,16
0.09,1,10,10,52,50,11
0.36,1,15,16,72,47,36
0.71,1,37,39,66,61,35
0.2,1,13,14,11,13,8
0.95,38,60,98,14,53,33
0.13,0,9,9,129,57,38
0.91,15,50,66,30,84,65
0.19,1,12,13,53,28,15
0.17,1,13,14,29,40,23
0.85,49,36,85,3,43,21
0.25,3,14,16,43,22,10
0.62,15,23,38,1,20,15
0.2,1,15,16,8,25,18
0.47,6,23,28,2,60,49
0.56,25,24,49,2,43,31
0.18,1,19,20,26,51,37
0.36,8,23,31,29,22,15
0.52,1,36,37,16,44,21
0.45,3,26,29,9,29,20
0.5,9,33,42,35,48,23
0.21,1,16,17,13,27,20
0.28,1,18,18,93,45,28
0.35,0,15,16,108,50,39
0.66,18,29,47,3,48,16
0.48,2,29,32,101,72,47
0.73,23,26,49,1,31,20
0.2,1,10,11,66,22,9
0.29,1,13,13,17,25,18
0.12,1,9,10,53,31,22
0.21,1,12,13,31,4,1
0.2,1,15,16,25,27,12
0.09,1,8,9,53,34,6
0.35,1,16,17,81,54,37
0.01,1,4,5,50,37,6
0.29,1,15,16,13,33,26
0.15,0,7,7,92,20,16
0.13,0,9,9,58,40,25
0.3,1,15,16,92,56,35
0.31,1,14,14,30,50,20
0.6,0,29,30,115,75,53
0.51,2,35,36,14,48,21
0.08,2,14,15,12,11,5
0.17,1,12,12,54,36,16
0.04,0,5,5,49,15,8
0.27,1,20,20,13,33,26
0.72,3,42,45,35,54,42
0.18,5,16,20,31,34,26
0.27,0,17,18,101,33,20
0.37,4,22,26,45,51,37
0.08,2,6,8,32,8,2
1.01,1,48,49,58,85,69
0.51,17,26,43,1,36,24
0.3,1,22,23,56,42,27
0.11,1,7,8,41,26,15
0.1,1,8,9,30,31,21
0.63,7,33,40,40,42,26
0.52,1,30,31,24,40,33
0.22,1,15,16,11,16,6
0.19,1,14,14,39,25,17
0.12,1,10,10,65,40,22
0.08,2,8,10,7,9,5
0.24,3,23,25,9,27,21
0.13,1,9,9,79,56,15
0.27,6,17,24,3,19,11
0.4,1,19,21,17,26,18
0.88,16,33,50,17,53,40
0.3,1,12,13,23,24,15
0.12,0,7,7,64,27,14
0.12,1,12,12,26,23,13
0.24,1,21,22,23,33,19
0.13,1,13,14,65,37,12
0.55,4,37,40,5,33,18
0.53,11,31,42,27,43,30
0.11,0,7,8,23,4,2
0.16,2,16,17,18,15,6
0.2,1,13,14,21,24,10
0.52,3,30,33,87,48,28
0.18,1,13,14,57,55,10
0.45,14,19,33,11,23,15
0.19,2,16,18,53,33,18
0.6,8,30,38,35,52,34
0.45,6,33,39,33,58,37
0.25,1,11,12,123,45,29
0.42,1,27,28,15,27,22
0.09,1,7,7,41,18,10
0.07,1,9,9,54,44,13
0.25,2,23,24,6,18,9
0.22,2,13,15,27,28,22
0.16,1,9,9,59,45,13
0.11,1,12,13,7,29,16
0.62,12,32,44,18,37,18
0.15,1,6,7,49,23,13
0.44,6,26,32,10,35,22
0.54,18,30,48,13,41,34
0.41,1,23,24,3,10,8
0.76,39,35,75,6,36,16
0.39,5,23,28,51,52,27
0.37,11,20,31,1,27,22
0.24,1,18,19,13,27,17
0.2,1,12,13,55,74,25
0.23,1,17,18,22,28,27
0.2,1,10,10,21,23,14
0.27,1,18,19,16,25,17
0.73,6,45,51,68,70,45
0.54,4,31,35,4,24,14
0.96,17,51,68,0,37,24
0.05,1,10,11,11,19,10
0.13,1,10,11,53,24,10
0.58,4,36,40,64,60,41
0.34,1,13,13,26,22,13
0.28,2,19,22,9,16,7
0.47,1,29,30,23,30,22
0.65,1,39,40,15,33,24
0.19,0,7,7,26,18,12
0.17,1,14,16,14,22,15
0.17,1,12,13,27,13,10
0.49,12,28,41,21,35,25
0.32,1,22,23,23,21,5
0.5,2,28,30,8,18,11
0.89,8,56,63,63,72,42
0.69,2,35,36,77,61,37
0.73,17,41,58,21,38,19
0.22,2,19,21,16,23,12
0.38,2,18,20,68,39,25
0.19,1,7,8,44,15,9
0.36,9,24,33,1,35,26
0.23,1,13,14,31,26,11
0.06,0,8,8,20,7,3
0.22,1,12,13,41,12,9
0.39,1,21,22,106,77,55
0.07,1,11,11,20,18,14
0.65,28,27,54,1,15,8
0.26,2,23,25,22,45,32
0.32,1,16,18,72,52,26
0.52,4,34,39,56,74,45
0.33,1,17,18,15,22,13
0.35,2,22,24,6,35,25
0.08,1,3,3,33,41,4
0.26,1,21,22,28,38,22
0.56,36,20,56,2,18,12
0.18,1,10,10,71,29,16
0.72,12,44,56,38,61,39
0.06,0,9,9,24,14,10
0.73,29,34,64,2,44,23
0.13,2,17,20,63,23,11
0.46,4,34,37,8,36,29
0.29,8,27,35,6,12,6
0.28,7,17,24,16,16,10
0.41,11,22,34,13,18,12
0.12,1,8,9,19,7,5
0.19,1,12,13,51,31,17
0.41,1,22,23,96,54,40
